Weight,Acc@1,Acc@5,Params,GFLOPS,Model,Family
ConvNeXt_Base_Weights.IMAGENET1K_V1,84.062,96.87,88.6M,15.36,ConvNeXt_Base,ConvNeXt
ConvNeXt_Large_Weights.IMAGENET1K_V1,84.414,96.976,197.8M,34.36,ConvNeXt_Large,ConvNeXt
ConvNeXt_Small_Weights.IMAGENET1K_V1,83.616,96.65,50.2M,8.68,ConvNeXt_Small,ConvNeXt
ConvNeXt_Tiny_Weights.IMAGENET1K_V1,82.52,96.146,28.6M,4.46,ConvNeXt_Tiny,ConvNeXt
EfficientNet_B0_Weights.IMAGENET1K_V1,77.692,93.532,5.3M,0.39,EfficientNet_B0,EfficientNet
EfficientNet_B1_Weights.IMAGENET1K_V1,78.642,94.186,7.8M,0.69,EfficientNet_B1,EfficientNet
EfficientNet_B2_Weights.IMAGENET1K_V1,80.608,95.31,9.1M,1.09,EfficientNet_B2,EfficientNet
EfficientNet_B3_Weights.IMAGENET1K_V1,82.008,96.054,12.2M,1.83,EfficientNet_B3,EfficientNet
EfficientNet_B4_Weights.IMAGENET1K_V1,83.384,96.594,19.3M,4.39,EfficientNet_B4,EfficientNet
EfficientNet_B5_Weights.IMAGENET1K_V1,83.444,96.628,30.4M,10.27,EfficientNet_B5,EfficientNet
EfficientNet_B6_Weights.IMAGENET1K_V1,84.008,96.916,43.0M,19.07,EfficientNet_B6,EfficientNet
EfficientNet_B7_Weights.IMAGENET1K_V1,84.122,96.908,66.3M,37.75,EfficientNet_B7,EfficientNet
Inception_V3_Weights.IMAGENET1K_V1,77.294,93.45,27.2M,5.71,Inception_V3,Inception
RegNet_X_16GF_Weights.IMAGENET1K_V1,80.058,94.944,54.3M,15.94,RegNet_X_16GF,RegNet
RegNet_X_32GF_Weights.IMAGENET1K_V1,80.622,95.248,107.8M,31.74,RegNet_X_32GF,RegNet
RegNet_X_3_2GF_Weights.IMAGENET1K_V1,78.364,93.992,15.3M,3.18,RegNet_X_3_2GF,RegNet
RegNet_X_8GF_Weights.IMAGENET1K_V1,79.344,94.686,39.6M,8.0,RegNet_X_8GF,RegNet
RegNet_Y_16GF_Weights.IMAGENET1K_V1,80.424,95.24,83.6M,15.91,RegNet_Y_16GF,RegNet
RegNet_Y_1_6GF_Weights.IMAGENET1K_V1,77.95,93.966,11.2M,1.61,RegNet_Y_1_6GF,RegNet
RegNet_Y_32GF_Weights.IMAGENET1K_V1,80.878,95.34,145.0M,32.28,RegNet_Y_32GF,RegNet
RegNet_Y_3_2GF_Weights.IMAGENET1K_V1,78.948,94.576,19.4M,3.18,RegNet_Y_3_2GF,RegNet
RegNet_Y_8GF_Weights.IMAGENET1K_V1,80.032,95.048,39.4M,8.47,RegNet_Y_8GF,RegNet
ResNeXt101_32X8D_Weights.IMAGENET1K_V1,79.312,94.526,88.8M,16.41,ResNeXt101_32X8D,ResNeXt
ResNeXt101_64X4D_Weights.IMAGENET1K_V1,83.246,96.454,83.5M,15.46,ResNeXt101_64X4D,ResNeXt
ResNeXt50_32X4D_Weights.IMAGENET1K_V1,77.618,93.698,25.0M,4.23,ResNeXt50_32X4D,ResNeXt
ResNet101_Weights.IMAGENET1K_V1,77.374,93.546,44.5M,7.8,ResNet101,ResNet
ResNet152_Weights.IMAGENET1K_V1,78.312,94.046,60.2M,11.51,ResNet152,ResNet
Wide_ResNet101_2_Weights.IMAGENET1K_V1,78.848,94.284,126.9M,22.75,Wide_ResNet101_2,Wide_ResNet
Wide_ResNet50_2_Weights.IMAGENET1K_V1,78.468,94.086,68.9M,11.4,Wide_ResNet50_2,Wide_ResNet
